kargo_id,satis_id,alici_adi,sehir,kargo_durumu,kargoya_verilis_tarihi,teslimat_tarihi
KRG-2148,2148,Ali M.,Ankara,Teslim Edildi,2025-08-15,2025-08-16
KRG-2149,2149,Ali M.,İzmir,Teslim Edildi,2025-08-15,2025-08-18
KRG-2150,2150,Mehmet D.,Kocaeli,Teslim Edildi,2025-08-14,2025-08-15
KRG-2151,2151,Zeynep C.,Ankara,Teslim Edildi,2025-08-14,2025-08-16
KRG-2152,2152,Mehmet D.,Ankara,Teslim Edildi,2025-08-15,2025-08-16
KRG-2153,2153,Elif S.,Ankara,Teslim Edildi,2025-08-14,2025-08-16
KRG-2154,2154,Cemre Y.,İzmir,Teslim Edildi,2025-08-15,2025-08-16
KRG-2155,2155,Elif S.,Samsun,Teslim Edildi,2025-08-15,2025-08-17
KRG-2156,2156,Mehmet D.,İzmir,Teslim Edildi,2025-08-15,2025-08-17
KRG-2157,2157,Caner B.,Kocaeli,Teslim Edildi,2025-08-14,2025-08-16
KRG-2158,2158,Fatma A.,İstanbul,Teslim Edildi,2025-08-16,2025-08-19
KRG-2159,2159,Zeynep C.,Kocaeli,Teslim Edildi,2025-08-15,2025-08-16
KRG-2160,2160,Fatma A.,Bursa,Teslim Edildi,2025-08-15,2025-08-17
KRG-2161,2161,Zeynep C.,Ankara,Teslim Edildi,2025-08-16,2025-08-17
KRG-2162,2162,Caner B.,Samsun,Teslim Edildi,2025-08-16,2025-08-19
KRG-2163,2163,Ahmet Y.,İzmir,Teslim Edildi,2025-08-16,2025-08-19
KRG-2164,2164,Mehmet D.,İstanbul,Teslim Edildi,2025-08-15,2025-08-18
KRG-2165,2165,Elif S.,Ankara,Teslim Edildi,2025-08-16,2025-08-18
KRG-2166,2166,Mehmet D.,Antalya,Teslim Edildi,2025-08-15,2025-08-16
KRG-2167,2167,Ali M.,İzmir,Teslim Edildi,2025-08-16,2025-08-18
KRG-2168,2168,Ahmet Y.,Ankara,Teslim Edildi,2025-08-16,2025-08-18
KRG-2169,2169,Ayşe K.,Eskişehir,Teslim Edildi,2025-08-17,2025-08-19
KRG-2170,2170,Mehmet D.,Ankara,Teslim Edildi,2025-08-17,2025-08-20
KRG-2171,2171,Burak T.,Adana,Teslim Edildi,2025-08-16,2025-08-17
KRG-2172,2172,Ayşe K.,Samsun,Teslim Edildi,2025-08-16,2025-08-19
KRG-2173,2173,Zeynep C.,Samsun,Teslim Edildi,2025-08-17,2025-08-20
KRG-2174,2174,Burak T.,Samsun,İade Teslim Alındı,2025-08-17,2025-08-18
KRG-2175,2175,Cemre Y.,Balıkesir,Teslim Edildi,2025-08-16,2025-08-17
KRG-2176,2176,Ali M.,Kocaeli,Teslim Edildi,2025-08-16,2025-08-19
KRG-2177,2177,Fatma A.,Antalya,Teslim Edildi,2025-08-16,2025-08-17
KRG-2178,2178,Zeynep C.,Ankara,Teslim Edildi,2025-08-17,2025-08-20
KRG-2179,2179,Burak T.,Eskişehir,Teslim Edildi,2025-08-17,2025-08-18
KRG-2180,2180,Fatma A.,İstanbul,Teslim Edildi,2025-08-16,2025-08-19
KRG-2181,2181,Ayşe K.,Antalya,Teslim Edildi,2025-08-17,2025-08-18
KRG-2182,2182,Ayşe K.,Balıkesir,Teslim Edildi,2025-08-17,2025-08-18
KRG-2183,2183,Ahmet Y.,İzmir,Teslim Edildi,2025-08-17,2025-08-18
KRG-2184,2184,Zeynep C.,Kocaeli,Teslim Edildi,2025-08-17,2025-08-19
KRG-2185,2185,Mehmet D.,Kocaeli,Teslim Edildi,2025-08-16,2025-08-19
KRG-2186,2186,Zeynep C.,Eskişehir,Teslim Edildi,2025-08-17,2025-08-20
KRG-2187,2187,Caner B.,Samsun,Teslim Edildi,2025-08-17,2025-08-20
KRG-2188,2188,Cemre Y.,Balıkesir,Teslim Edildi,2025-08-17,2025-08-19
KRG-2189,2189,Ayşe K.,İzmir,Teslim Edildi,2025-08-18,2025-08-19
KRG-2190,2190,Ali M.,İzmir,Teslim Edildi,2025-08-17,2025-08-20
KRG-2191,2191,Ayşe K.,Antalya,Teslim Edildi,2025-08-17,2025-08-18
KRG-2192,2192,Caner B.,Eskişehir,Teslim Edildi,2025-08-18,2025-08-20
KRG-2193,2193,Zeynep C.,Antalya,Teslim Edildi,2025-08-17,2025-08-20
KRG-2194,2194,Elif S.,İstanbul,Teslim Edildi,2025-08-17,2025-08-18
KRG-2196,2196,Mehmet D.,Bursa,Teslim Edildi,2025-08-18,2025-08-19
KRG-2197,2197,Caner B.,Balıkesir,Teslim Edildi,2025-08-18,2025-08-20
KRG-2198,2198,Mehmet D.,Bursa,Teslim Edildi,2025-08-17,2025-08-18
KRG-2199,2199,Ali M.,Ankara,Teslim Edildi,2025-08-18,2025-08-20
KRG-2201,2201,Zeynep C.,İstanbul,Teslim Edildi,2025-08-18,2025-08-20
KRG-2202,2202,Caner B.,İstanbul,Teslim Edildi,2025-08-18,2025-08-20
KRG-2203,2203,Elif S.,Bursa,Teslim Edildi,2025-08-17,2025-08-20
KRG-2204,2204,Zeynep C.,Ankara,Teslim Edildi,2025-08-17,2025-08-20
KRG-2205,2205,Ahmet Y.,Samsun,Teslim Edildi,2025-08-18,2025-08-19
KRG-2206,2206,Elif S.,Adana,Teslim Edildi,2025-08-17,2025-08-20
KRG-2207,2207,Caner B.,Samsun,Teslim Edildi,2025-08-18,2025-08-21
KRG-2208,2208,Elif S.,Adana,Teslim Edildi,2025-08-17,2025-08-20
KRG-2209,2209,Ahmet Y.,Ankara,Teslim Edildi,2025-08-17,2025-08-18
KRG-2210,2210,Cemre Y.,Samsun,Teslim Edildi,2025-08-18,2025-08-20
KRG-2211,2211,Cemre Y.,Balıkesir,Teslim Edildi,2025-08-19,2025-08-22
KRG-2212,2212,Ali M.,Ankara,Teslim Edildi,2025-08-19,2025-08-22
KRG-2213,2213,Cemre Y.,İzmir,Teslim Edildi,2025-08-19,2025-08-20
KRG-2214,2214,Zeynep C.,Ankara,Teslim Edildi,2025-08-18,2025-08-20
KRG-2215,2215,Zeynep C.,Kocaeli,Teslim Edildi,2025-08-19,2025-08-20
KRG-2216,2216,Caner B.,Balıkesir,Teslim Edildi,2025-08-19,2025-08-20
KRG-2217,2217,Elif S.,Balıkesir,Teslim Edildi,2025-08-18,2025-08-19
KRG-2218,2218,Ayşe K.,Balıkesir,Teslim Edildi,2025-08-19,2025-08-22
KRG-2219,2219,Elif S.,Samsun,Teslim Edildi,2025-08-18,2025-08-19
KRG-2220,2220,Ayşe K.,Balıkesir,Teslim Edildi,2025-08-18,2025-08-19
KRG-2221,2221,Zeynep C.,Eskişehir,Teslim Edildi,2025-08-19,2025-08-22
KRG-2222,2222,Ali M.,İzmir,Teslim Edildi,2025-08-19,2025-08-21
KRG-2223,2223,Fatma A.,Samsun,Teslim Edildi,2025-08-19,2025-08-20
KRG-2224,2224,Elif S.,Adana,İade Teslim Alındı,2025-08-19,2025-08-21
KRG-2225,2225,Ayşe K.,Samsun,Teslim Edildi,2025-08-20,2025-08-21
KRG-2226,2226,Zeynep C.,Balıkesir,Teslim Edildi,2025-08-19,2025-08-20
KRG-2227,2227,Caner B.,Eskişehir,Teslim Edildi,2025-08-19,2025-08-22
KRG-2228,2228,Burak T.,Balıkesir,Teslim Edildi,2025-08-20,2025-08-21
KRG-2229,2229,Fatma A.,İzmir,Teslim Edildi,2025-08-20,2025-08-23
KRG-2231,2231,Mehmet D.,Kocaeli,Teslim Edildi,2025-08-20,2025-08-21
KRG-2232,2232,Zeynep C.,Bursa,Teslim Edildi,2025-08-20,2025-08-21
KRG-2233,2233,Cemre Y.,Antalya,Teslim Edildi,2025-08-19,2025-08-21
KRG-2235,2235,Burak T.,İzmir,Teslim Edildi,2025-08-21,2025-08-23
KRG-2236,2236,Ahmet Y.,İstanbul,Teslim Edildi,2025-08-20,2025-08-23
KRG-2237,2237,Ayşe K.,Antalya,Teslim Edildi,2025-08-20,2025-08-23
KRG-2238,2238,Cemre Y.,Eskişehir,Teslim Edildi,2025-08-21,2025-08-24
KRG-2239,2239,Burak T.,Eskişehir,Teslim Edildi,2025-08-21,2025-08-22
KRG-2240,2240,Mehmet D.,Bursa,Teslim Edildi,2025-08-21,2025-08-24
KRG-2241,2241,Burak T.,İzmir,Teslim Edildi,2025-08-21,2025-08-24
KRG-2242,2242,Mehmet D.,İstanbul,Teslim Edildi,2025-08-21,2025-08-24
KRG-2243,2243,Zeynep C.,Eskişehir,Teslim Edildi,2025-08-21,2025-08-23
KRG-2244,2244,Burak T.,Kocaeli,Teslim Edildi,2025-08-20,2025-08-22
KRG-2245,2245,Ali M.,Eskişehir,Teslim Edildi,2025-08-22,2025-08-23
KRG-2246,2246,Fatma A.,İzmir,Teslim Edildi,2025-08-22,2025-08-23
KRG-2247,2247,Fatma A.,Adana,Teslim Edildi,2025-08-21,2025-08-23
KRG-2249,2249,Zeynep C.,Balıkesir,İade Teslim Alındı,2025-08-21,2025-08-23
KRG-2250,2250,Ayşe K.,İzmir,Teslim Edildi,2025-08-21,2025-08-24
KRG-2251,2251,Zeynep C.,Adana,Teslim Edildi,2025-08-22,2025-08-24
KRG-2252,2252,Fatma A.,Kocaeli,Teslim Edildi,2025-08-21,2025-08-23
KRG-2253,2253,Ayşe K.,Adana,Teslim Edildi,2025-08-21,2025-08-23
KRG-2254,2254,Elif S.,Adana,Teslim Edildi,2025-08-21,2025-08-23
KRG-2255,2255,Zeynep C.,Samsun,Teslim Edildi,2025-08-21,2025-08-23
KRG-2256,2256,Caner B.,İzmir,Teslim Edildi,2025-08-22,2025-08-23
KRG-2258,2258,Ahmet Y.,Kocaeli,Teslim Edildi,2025-08-21,2025-08-22
KRG-2259,2259,Cemre Y.,İstanbul,Teslim Edildi,2025-08-23,2025-08-25
KRG-2260,2260,Ayşe K.,Antalya,Teslim Edildi,2025-08-22,2025-08-23
KRG-2261,2261,Caner B.,İstanbul,Teslim Edildi,2025-08-22,2025-08-25
KRG-2262,2262,Mehmet D.,Kocaeli,Teslim Edildi,2025-08-22,2025-08-24
KRG-2263,2263,Fatma A.,Kocaeli,Teslim Edildi,2025-08-22,2025-08-24
KRG-2264,2264,Elif S.,Ankara,Teslim Edildi,2025-08-23,2025-08-24
KRG-2265,2265,Zeynep C.,Eskişehir,Teslim Edildi,2025-08-22,2025-08-23
KRG-2266,2266,Mehmet D.,Bursa,Teslim Edildi,2025-08-22,2025-08-25
KRG-2267,2267,Caner B.,Ankara,Teslim Edildi,2025-08-23,2025-08-24
KRG-2268,2268,Caner B.,Kocaeli,Teslim Edildi,2025-08-22,2025-08-24
KRG-2269,2269,Fatma A.,Eskişehir,Teslim Edildi,2025-08-22,2025-08-25
KRG-2270,2270,Mehmet D.,Adana,Teslim Edildi,2025-08-23,2025-08-25
KRG-2271,2271,Burak T.,Balıkesir,Teslim Edildi,2025-08-23,2025-08-25
KRG-2272,2272,Ayşe K.,Adana,Teslim Edildi,2025-08-23,2025-08-25
KRG-2273,2273,Caner B.,Balıkesir,Teslim Edildi,2025-08-24,2025-08-26
KRG-2274,2274,Cemre Y.,Eskişehir,Teslim Edildi,2025-08-24,2025-08-26
KRG-2275,2275,Cemre Y.,Bursa,Teslim Edildi,2025-08-23,2025-08-26
KRG-2276,2276,Elif S.,Adana,Teslim Edildi,2025-08-24,2025-08-26
KRG-2277,2277,Ahmet Y.,Eskişehir,Teslim Edildi,2025-08-23,2025-08-25
KRG-2278,2278,Elif S.,Bursa,Teslim Edildi,2025-08-24,2025-08-26
KRG-2279,2279,Ahmet Y.,Samsun,Teslim Edildi,2025-08-23,2025-08-26
KRG-2281,2281,Ayşe K.,Ankara,Teslim Edildi,2025-08-23,2025-08-26
KRG-2282,2282,Cemre Y.,İzmir,Teslim Edildi,2025-08-23,2025-08-24
KRG-2283,2283,Caner B.,Kocaeli,Teslim Edildi,2025-08-24,2025-08-27
KRG-2284,2284,Caner B.,Eskişehir,Teslim Edildi,2025-08-24,2025-08-26
KRG-2285,2285,Caner B.,İzmir,Teslim Edildi,2025-08-23,2025-08-24
KRG-2286,2286,Burak T.,Eskişehir,Teslim Edildi,2025-08-24,2025-08-25
KRG-2287,2287,Mehmet D.,Kocaeli,Teslim Edildi,2025-08-24,2025-08-27
KRG-2288,2288,Cemre Y.,Eskişehir,İade Teslim Alındı,2025-08-23,2025-08-25
KRG-2289,2289,Ali M.,Eskişehir,Teslim Edildi,2025-08-24,2025-08-26
KRG-2290,2290,Caner B.,Ankara,Teslim Edildi,2025-08-24,2025-08-27
KRG-2291,2291,Caner B.,Kocaeli,Teslim Edildi,2025-08-24,2025-08-26
KRG-2292,2292,Ahmet Y.,İstanbul,Teslim Edildi,2025-08-23,2025-08-26
KRG-2293,2293,Elif S.,Eskişehir,Teslim Edildi,2025-08-24,2025-08-25
KRG-2294,2294,Zeynep C.,Eskişehir,Teslim Edildi,2025-08-23,2025-08-26
KRG-2295,2295,Ali M.,Bursa,Teslim Edildi,2025-08-25,2025-08-26
KRG-2296,2296,Ayşe K.,Samsun,İade Teslim Alındı,2025-08-24,2025-08-27
KRG-2297,2297,Caner B.,Eskişehir,İade Teslim Alındı,2025-08-24,2025-08-25
KRG-2298,2298,Ayşe K.,Balıkesir,İade Teslim Alındı,2025-08-24,2025-08-25
KRG-2299,2299,Zeynep C.,Antalya,İade Teslim Alındı,2025-08-25,2025-08-26
KRG-2300,2300,Burak T.,Bursa,Teslim Edildi,2025-08-24,2025-08-25
KRG-2301,2301,Elif S.,Kocaeli,Teslim Edildi,2025-08-24,2025-08-25
KRG-2302,2302,Fatma A.,İzmir,Teslim Edildi,2025-08-24,2025-08-27
KRG-2303,2303,Fatma A.,Kocaeli,Teslim Edildi,2025-08-25,2025-08-27
KRG-2304,2304,Caner B.,Kocaeli,Teslim Edildi,2025-08-24,2025-08-27
KRG-2305,2305,Ahmet Y.,İstanbul,Teslim Edildi,2025-08-25,2025-08-28
KRG-2306,2306,Ahmet Y.,Eskişehir,Teslim Edildi,2025-08-25,2025-08-26
KRG-2307,2307,Ali M.,Kocaeli,Teslim Edildi,2025-08-24,2025-08-27
KRG-2308,2308,Mehmet D.,Samsun,Teslim Edildi,2025-08-25,2025-08-26
KRG-2309,2309,Mehmet D.,Kocaeli,Teslim Edildi,2025-08-24,2025-08-27
KRG-2310,2310,Ahmet Y.,Bursa,Teslim Edildi,2025-08-25,2025-08-28
KRG-2311,2311,Caner B.,Ankara,Teslim Edildi,2025-08-26,2025-08-27
KRG-2312,2312,Ayşe K.,Ankara,Teslim Edildi,2025-08-26,2025-08-27
KRG-2313,2313,Fatma A.,Ankara,Teslim Edildi,2025-08-25,2025-08-26
KRG-2314,2314,Burak T.,Balıkesir,Teslim Edildi,2025-08-25,2025-08-26
KRG-2315,2315,Mehmet D.,Balıkesir,Teslim Edildi,2025-08-25,2025-08-28
KRG-2316,2316,Cemre Y.,İzmir,Teslim Edildi,2025-08-26,2025-08-28
KRG-2317,2317,Burak T.,İzmir,Teslim Edildi,2025-08-26,2025-08-28
KRG-2318,2318,Fatma A.,Samsun,Teslim Edildi,2025-08-25,2025-08-27
KRG-2319,2319,Cemre Y.,Eskişehir,Teslim Edildi,2025-08-26,2025-08-28
KRG-2320,2320,Ayşe K.,İstanbul,Teslim Edildi,2025-08-25,2025-08-28
KRG-2322,2322,Zeynep C.,İzmir,Teslim Edildi,2025-08-25,2025-08-27
KRG-2323,2323,Zeynep C.,Eskişehir,Teslim Edildi,2025-08-25,2025-08-28
KRG-2324,2324,Ahmet Y.,Samsun,Teslim Edildi,2025-08-25,2025-08-26
KRG-2325,2325,Caner B.,Balıkesir,Teslim Edildi,2025-08-26,2025-08-28
KRG-2326,2326,Ali M.,Ankara,Teslim Edildi,2025-08-27,2025-08-30
KRG-2327,2327,Ali M.,Bursa,Teslim Edildi,2025-08-27,2025-08-28
KRG-2328,2328,Caner B.,İstanbul,Teslim Edildi,2025-08-26,2025-08-29
KRG-2329,2329,Zeynep C.,Kocaeli,Teslim Edildi,2025-08-26,2025-08-27
KRG-2330,2330,Ahmet Y.,Balıkesir,Teslim Edildi,2025-08-27,2025-08-29
KRG-2331,2331,Cemre Y.,Kocaeli,Teslim Edildi,2025-08-27,2025-08-30
KRG-2332,2332,Mehmet D.,İzmir,Teslim Edildi,2025-08-26,2025-08-29
KRG-2333,2333,Ayşe K.,Bursa,Teslim Edildi,2025-08-26,2025-08-27
KRG-2334,2334,Burak T.,Bursa,Teslim Edildi,2025-08-26,2025-08-29
KRG-2335,2335,Ayşe K.,Balıkesir,Teslim Edildi,2025-08-27,2025-08-29
KRG-2336,2336,Fatma A.,Eskişehir,Teslim Edildi,2025-08-26,2025-08-27
KRG-2337,2337,Burak T.,İzmir,Teslim Edildi,2025-08-28,2025-08-31
KRG-2338,2338,Burak T.,Balıkesir,Teslim Edildi,2025-08-27,2025-08-28
KRG-2339,2339,Elif S.,Antalya,Teslim Edildi,2025-08-28,2025-08-29
KRG-2340,2340,Cemre Y.,İstanbul,Teslim Edildi,2025-08-27,2025-08-30
KRG-2341,2341,Zeynep C.,Eskişehir,Teslim Edildi,2025-08-27,2025-08-30
KRG-2342,2342,Cemre Y.,İzmir,Teslim Edildi,2025-08-28,2025-08-29
KRG-2343,2343,Mehmet D.,Samsun,Teslim Edildi,2025-08-28,2025-08-29
KRG-2344,2344,Burak T.,Adana,Teslim Edildi,2025-08-27,2025-08-30
KRG-2345,2345,Zeynep C.,Antalya,Teslim Edildi,2025-08-29,2025-09-01
KRG-2346,2346,Fatma A.,Balıkesir,Teslim Edildi,2025-08-29,2025-08-31
KRG-2347,2347,Mehmet D.,Samsun,Teslim Edildi,2025-08-28,2025-08-31
KRG-2348,2348,Ahmet Y.,Kocaeli,Teslim Edildi,2025-08-28,2025-08-31
KRG-2349,2349,Ali M.,Eskişehir,Teslim Edildi,2025-08-29,2025-08-30
KRG-2350,2350,Zeynep C.,Kocaeli,Teslim Edildi,2025-08-28,2025-08-30
KRG-2351,2351,Burak T.,Bursa,Teslim Edildi,2025-08-28,2025-08-29
KRG-2352,2352,Ayşe K.,İstanbul,Teslim Edildi,2025-08-29,2025-09-01
KRG-2353,2353,Zeynep C.,Samsun,Teslim Edildi,2025-08-29,2025-08-31
KRG-2354,2354,Zeynep C.,İzmir,Teslim Edildi,2025-08-28,2025-08-31
KRG-2355,2355,Zeynep C.,İstanbul,Teslim Edildi,2025-08-29,2025-08-31
KRG-2356,2356,Elif S.,Adana,Teslim Edildi,2025-08-29,2025-08-30
KRG-2357,2357,Cemre Y.,Adana,Teslim Edildi,2025-08-30,2025-09-02
KRG-2358,2358,Ayşe K.,Samsun,Teslim Edildi,2025-08-30,2025-09-01
KRG-2359,2359,Ali M.,Balıkesir,Teslim Edildi,2025-08-29,2025-09-01
KRG-2360,2360,Zeynep C.,Samsun,Teslim Edildi,2025-08-30,2025-08-31
KRG-2361,2361,Ali M.,Ankara,Teslim Edildi,2025-08-30,2025-08-31
KRG-2362,2362,Fatma A.,Adana,Teslim Edildi,2025-08-30,2025-08-31
KRG-2363,2363,Fatma A.,Bursa,Teslim Edildi,2025-08-31,2025-09-01
KRG-2364,2364,Burak T.,Antalya,Teslim Edildi,2025-08-31,2025-09-03
KRG-2365,2365,Zeynep C.,Adana,Teslim Edildi,2025-08-30,2025-09-02
KRG-2366,2366,Ali M.,Adana,Teslim Edildi,2025-08-31,2025-09-02
KRG-2367,2367,Ayşe K.,Bursa,Teslim Edildi,2025-08-31,2025-09-01
KRG-2368,2368,Burak T.,İzmir,Teslim Edildi,2025-08-30,2025-08-31
KRG-2369,2369,Mehmet D.,Antalya,İade Teslim Alındı,2025-08-31,2025-09-02
KRG-2370,2370,Fatma A.,Adana,Teslim Edildi,2025-08-31,2025-09-02
KRG-2371,2371,Ali M.,İzmir,Teslim Edildi,2025-08-30,2025-08-31
KRG-2372,2372,Ahmet Y.,Antalya,Teslim Edildi,2025-08-30,2025-08-31
KRG-2373,2373,Ali M.,Balıkesir,Teslim Edildi,2025-08-31,2025-09-02
KRG-2374,2374,Elif S.,Kocaeli,Teslim Edildi,2025-08-31,2025-09-01
KRG-2375,2375,Zeynep C.,Kocaeli,Teslim Edildi,2025-08-30,2025-08-31
KRG-2376,2376,Mehmet D.,Antalya,Teslim Edildi,2025-08-31,2025-09-03
KRG-2377,2377,Ahmet Y.,İzmir,Teslim Edildi,2025-08-30,2025-09-02
KRG-2378,2378,Cemre Y.,İzmir,Teslim Edildi,2025-08-31,2025-09-02
KRG-2379,2379,Mehmet D.,İzmir,Teslim Edildi,2025-08-30,2025-09-01
KRG-2380,2380,Cemre Y.,İzmir,Teslim Edildi,2025-08-31,2025-09-02
KRG-2381,2381,Ahmet Y.,Balıkesir,Teslim Edildi,2025-08-31,2025-09-03
KRG-2382,2382,Ali M.,İzmir,Teslim Edildi,2025-08-31,2025-09-03
KRG-2383,2383,Burak T.,Kocaeli,Teslim Edildi,2025-08-31,2025-09-03
KRG-2385,2385,Ali M.,Balıkesir,İade Teslim Alındı,2025-09-01,2025-09-02
KRG-2386,2386,Cemre Y.,İzmir,Teslim Edildi,2025-08-31,2025-09-02
KRG-2387,2387,Elif S.,Ankara,Teslim Edildi,2025-09-01,2025-09-03
KRG-2389,2389,Burak T.,Samsun,Teslim Edildi,2025-09-01,2025-09-02
KRG-2390,2390,Elif S.,İstanbul,Teslim Edildi,2025-08-31,2025-09-01
KRG-2391,2391,Fatma A.,Antalya,Teslim Edildi,2025-09-01,2025-09-03
KRG-2392,2392,Ayşe K.,Adana,Teslim Edildi,2025-09-01,2025-09-03
KRG-2393,2393,Cemre Y.,Adana,Teslim Edildi,2025-09-01,2025-09-02
KRG-2395,2395,Elif S.,Eskişehir,Teslim Edildi,2025-09-01,2025-09-03
KRG-2396,2396,Caner B.,Kocaeli,Teslim Edildi,2025-08-31,2025-09-03
KRG-2397,2397,Zeynep C.,Eskişehir,Teslim Edildi,2025-09-01,2025-09-04
KRG-2398,2398,Burak T.,Eskişehir,Teslim Edildi,2025-08-31,2025-09-02
KRG-2399,2399,Fatma A.,Antalya,Teslim Edildi,2025-09-01,2025-09-02
KRG-2400,2400,Ayşe K.,Samsun,Teslim Edildi,2025-09-02,2025-09-03
KRG-2401,2401,Caner B.,Eskişehir,Teslim Edildi,2025-09-02,2025-09-04
KRG-2402,2402,Mehmet D.,Bursa,Teslim Edildi,2025-09-02,2025-09-04
KRG-2403,2403,Zeynep C.,İstanbul,Teslim Edildi,2025-09-02,2025-09-04
KRG-2404,2404,Caner B.,Kocaeli,Teslim Edildi,2025-09-02,2025-09-05
KRG-2405,2405,Ahmet Y.,İzmir,Teslim Edildi,2025-09-01,2025-09-03
KRG-2406,2406,Zeynep C.,Ankara,İade Teslim Alındı,2025-09-02,2025-09-05
KRG-2407,2407,Mehmet D.,Kocaeli,Teslim Edildi,2025-09-01,2025-09-03
KRG-2408,2408,Zeynep C.,Ankara,Teslim Edildi,2025-09-03,2025-09-04
KRG-2409,2409,Cemre Y.,Eskişehir,Teslim Edildi,2025-09-03,2025-09-05
KRG-2410,2410,Ayşe K.,Balıkesir,Teslim Edildi,2025-09-03,2025-09-06
KRG-2411,2411,Mehmet D.,Samsun,Teslim Edildi,2025-09-03,2025-09-06
KRG-2412,2412,Mehmet D.,Balıkesir,Teslim Edildi,2025-09-02,2025-09-04
KRG-2413,2413,Elif S.,İstanbul,Teslim Edildi,2025-09-03,2025-09-05
KRG-2414,2414,Ali M.,Bursa,Teslim Edildi,2025-09-03,2025-09-05
KRG-2415,2415,Cemre Y.,İzmir,Teslim Edildi,2025-09-02,2025-09-05
KRG-2416,2416,Caner B.,Antalya,Teslim Edildi,2025-09-02,2025-09-05
KRG-2417,2417,Ali M.,Samsun,Teslim Edildi,2025-09-02,2025-09-05
KRG-2418,2418,Ali M.,Antalya,Teslim Edildi,2025-09-02,2025-09-05
KRG-2419,2419,Mehmet D.,Ankara,Teslim Edildi,2025-09-03,2025-09-06
KRG-2420,2420,Ali M.,Samsun,Teslim Edildi,2025-09-02,2025-09-04
KRG-2421,2421,Ali M.,Ankara,İade Teslim Alındı,2025-09-03,2025-09-06
KRG-2424,2424,Zeynep C.,Samsun,Teslim Edildi,2025-09-02,2025-09-04
KRG-2425,2425,Caner B.,İstanbul,İade Teslim Alındı,2025-09-03,2025-09-04
KRG-2426,2426,Mehmet D.,Bursa,Teslim Edildi,2025-09-03,2025-09-04
KRG-2427,2427,Burak T.,Ankara,Teslim Edildi,2025-09-04,2025-09-07
KRG-2428,2428,Ahmet Y.,Bursa,Teslim Edildi,2025-09-03,2025-09-06
KRG-2429,2429,Cemre Y.,İstanbul,Teslim Edildi,2025-09-04,2025-09-06
KRG-2431,2431,Ayşe K.,Samsun,Teslim Edildi,2025-09-03,2025-09-05
KRG-2433,2433,Caner B.,Samsun,Teslim Edildi,2025-09-04,2025-09-07
KRG-2434,2434,Cemre Y.,Bursa,Teslim Edildi,2025-09-04,2025-09-07
KRG-2435,2435,Ahmet Y.,Adana,Teslim Edildi,2025-09-04,2025-09-07
KRG-2436,2436,Mehmet D.,Adana,Teslim Edildi,2025-09-03,2025-09-05
KRG-2437,2437,Ali M.,Kocaeli,Teslim Edildi,2025-09-03,2025-09-04
KRG-2438,2438,Ayşe K.,İzmir,Teslim Edildi,2025-09-04,2025-09-07
KRG-2439,2439,Fatma A.,Adana,İade Teslim Alındı,2025-09-05,2025-09-06
KRG-2440,2440,Ayşe K.,Kocaeli,Teslim Edildi,2025-09-04,2025-09-07
KRG-2441,2441,Caner B.,Adana,Teslim Edildi,2025-09-05,2025-09-07
KRG-2442,2442,Ayşe K.,Eskişehir,Teslim Edildi,2025-09-05,2025-09-06
KRG-2443,2443,Zeynep C.,Bursa,Teslim Edildi,2025-09-04,2025-09-05
KRG-2444,2444,Fatma A.,Ankara,Teslim Edildi,2025-09-05,2025-09-06
KRG-2445,2445,Elif S.,İzmir,Teslim Edildi,2025-09-04,2025-09-06
KRG-2446,2446,Ayşe K.,Eskişehir,Teslim Edildi,2025-09-05,2025-09-07
KRG-2447,2447,Ayşe K.,İzmir,Teslim Edildi,2025-09-05,2025-09-08
KRG-2448,2448,Mehmet D.,Ankara,Teslim Edildi,2025-09-04,2025-09-06
KRG-2449,2449,Cemre Y.,Eskişehir,Teslim Edildi,2025-09-04,2025-09-06
KRG-2450,2450,Zeynep C.,Antalya,Teslim Edildi,2025-09-04,2025-09-06
KRG-2451,2451,Burak T.,Balıkesir,Teslim Edildi,2025-09-06,2025-09-07
KRG-2452,2452,Zeynep C.,Adana,Teslim Edildi,2025-09-05,2025-09-08
KRG-2453,2453,Ayşe K.,Antalya,Teslim Edildi,2025-09-05,2025-09-07
KRG-2454,2454,Ahmet Y.,Ankara,Teslim Edildi,2025-09-06,2025-09-08
KRG-2455,2455,Ahmet Y.,İzmir,Teslim Edildi,2025-09-06,2025-09-07
KRG-2456,2456,Caner B.,Samsun,Teslim Edildi,2025-09-06,2025-09-08
KRG-2457,2457,Ali M.,Kocaeli,Teslim Edildi,2025-09-06,2025-09-07
KRG-2458,2458,Zeynep C.,Kocaeli,Teslim Edildi,2025-09-06,2025-09-09
KRG-2459,2459,Ali M.,İstanbul,Teslim Edildi,2025-09-06,2025-09-08
KRG-2460,2460,Ayşe K.,Eskişehir,Teslim Edildi,2025-09-05,2025-09-07
KRG-2461,2461,Zeynep C.,İstanbul,Teslim Edildi,2025-09-05,2025-09-08
KRG-2462,2462,Mehmet D.,Kocaeli,Teslim Edildi,2025-09-05,2025-09-06
KRG-2463,2463,Zeynep C.,Ankara,Teslim Edildi,2025-09-06,2025-09-09
KRG-2464,2464,Ali M.,Samsun,Teslim Edildi,2025-09-05,2025-09-08
KRG-2465,2465,Ali M.,İstanbul,Teslim Edildi,2025-09-05,2025-09-08
